"2023-04-03T10:34:39.369Z","SYS","Session logging started.",""
"2023-04-03T10:34:39.371Z","EVSE","Session Started: EVConnected",""
"2023-04-03T10:34:39.372Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-03T10:34:39.592Z","EVSE","SLAC MATCHING",""
"2023-04-03T10:34:40.935Z","EVSE","SLAC MATCHED",""
"2023-04-03T10:34:41.711Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-03T10:34:41.861Z","EVSE","EIM Authorization received",""
"2023-04-03T10:34:41.861Z","EVSE","Transaction Started (377.173 kWh)",""
"2023-04-03T10:34:41.863Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-03T10:34:41.913Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-03T10:34:42.057Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-03T10:34:44.983Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-03T10:34:44.994Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-03T10:34:45.016Z","CAR","V2G SessionSetupReq",""
"2023-04-03T10:34:45.119Z","EVSE","V2G SessionSetupRes",""
"2023-04-03T10:34:45.150Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-03T10:34:45.242Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-03T10:34:45.303Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-03T10:34:45.405Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-03T10:34:45.584Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-03T10:34:45.604Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-03T10:34:46.129Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-03T10:34:46.263Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-03T10:34:46.387Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-03T10:34:46.448Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-03T10:34:46.592Z","EVSE","Start cable check...",""
"2023-04-03T10:34:46.592Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-03T10:34:46.623Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:46.736Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:46.788Z","EVSE","DC power supply: switch ON called",""
"2023-04-03T10:34:46.952Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:47.076Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:47.324Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:47.407Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:47.704Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:47.806Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:47.888Z","CAR","Event CarRequestedPower",""
"2023-04-03T10:34:48.052Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:48.123Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:48.204Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-03T10:34:48.388Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:48.491Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:48.759Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:48.851Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:49.117Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:49.198Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-03T10:34:49.199Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-03T10:34:49.211Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:49.466Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:49.569Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:49.620Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-03T10:34:49.857Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:49.981Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:50.195Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:50.288Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:50.544Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:50.658Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:50.914Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:51.018Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:51.283Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:51.418Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:51.632Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:51.766Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:51.990Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:52.104Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:52.349Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:52.452Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:52.712Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:52.804Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:53.069Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:53.162Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:53.427Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:53.530Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:53.808Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:53.931Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:54.158Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:54.250Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:54.505Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:54.607Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:54.864Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:54.976Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:55.261Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:55.354Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:55.589Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:55.712Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:55.947Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:56.070Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:56.316Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:56.419Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:56.668Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:56.802Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:57.037Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:57.129Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:57.394Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:57.487Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:57.746Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:57.860Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:58.127Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:58.209Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:58.506Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:58.568Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:58.833Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:58.925Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:59.193Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:59.319Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:59.576Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:34:59.647Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:34:59.913Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:00.016Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:00.261Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:00.363Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:00.634Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:00.727Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:00.994Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:01.086Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:01.353Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:01.497Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:01.702Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:01.837Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:02.076Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:02.168Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:02.449Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:02.574Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:02.791Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:02.893Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:03.153Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:03.303Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:03.519Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:03.611Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:03.878Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:03.970Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:04.237Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:04.329Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:04.599Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:04.692Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:04.947Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:05.042Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:05.353Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:05.415Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:05.665Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:05.789Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:06.039Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:06.131Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:06.388Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:06.527Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:06.797Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:06.900Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:07.156Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:07.250Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:07.507Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:07.580Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:07.835Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:07.937Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:08.195Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:08.308Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:08.567Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:08.650Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:08.915Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:08.998Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:09.305Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:09.366Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:09.625Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:09.771Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:10.012Z","CAR","V2G CableCheckReq",""
"2023-04-03T10:35:10.084Z","EVSE","V2G CableCheckRes",""
"2023-04-03T10:35:10.146Z","EVSE","DC power supply set: 388.20001220703125V/1A, requested was 388.20001220703125V/1A.",""
"2023-04-03T10:35:10.521Z","CAR","V2G PreChargeReq",""
"2023-04-03T10:35:10.523Z","EVSE","V2G PreChargeRes",""
"2023-04-03T10:35:10.527Z","EVSE","DC power supply set: 388V/1A, requested was 388V/1A.",""
"2023-04-03T10:35:10.864Z","CAR","V2G PreChargeReq",""
"2023-04-03T10:35:10.867Z","EVSE","V2G PreChargeRes",""
"2023-04-03T10:35:11.133Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 388, hack_bpt false",""
"2023-04-03T10:35:11.456Z","CAR","V2G PowerDeliveryReq",""
"2023-04-03T10:35:11.517Z","EVSE","V2G PowerDeliveryRes",""
"2023-04-03T10:35:11.584Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-03T10:35:11.611Z","EVSE","DC power supply set: 478.6000061035156V/2.799999952316284A, requested was 478.6000061035156V/2.799999952316284A.",""
"2023-04-03T10:35:11.938Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:11.941Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:12.037Z","EVSE","DC power supply set: 478.6000061035156V/11.399999618530273A, requested was 478.6000061035156V/11.399999618530273A.",""
"2023-04-03T10:35:12.132Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:12.140Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:12.512Z","EVSE","DC power supply set: 478.6000061035156V/20A, requested was 478.6000061035156V/20A.",""
"2023-04-03T10:35:12.565Z","EVSE","Change HLC Limits: 10000W/20.894274A, target_voltage 478.6, hack_bpt false",""
"2023-04-03T10:35:12.601Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:12.616Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:12.969Z","EVSE","DC power supply set: 478.6000061035156V/20.894274702196967A, requested was 478.6000061035156V/24.5A.",""
"2023-04-03T10:35:13.056Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:13.063Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:13.423Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:13.508Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:13.527Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:13.887Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.010Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:14.352Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.434Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:14.823Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:14.906Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:15.265Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:15.389Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:15.762Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:15.844Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:16.183Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:16.275Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:16.656Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:16.761Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:17.142Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:17.204Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:17.584Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:17.667Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.059Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:18.184Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.482Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:18.580Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:18.588Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:18.939Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:19.047Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.049Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:19.439Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:19.440Z","EVSE","Change HLC Limits: 10000W/20.881186A, target_voltage 478.9, hack_bpt false",""
"2023-04-03T10:35:19.539Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.542Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:19.866Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:19.991Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:20.322Z","EVSE","DC power supply set: 478.6000061035156V/19.899999618530273A, requested was 478.6000061035156V/19.899999618530273A.",""
"2023-04-03T10:35:20.430Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:20.432Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:20.777Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:20.892Z","EVSE","V2G CurrentDemandRes",""
"2023-04-03T10:35:21.017Z","EVSE","Change HLC Limits: 10000W/20.894274A, target_voltage 478.6, hack_bpt false",""
"2023-04-03T10:35:21.277Z","EVSE","DC power supply set: 478.8999938964844V/19.899999618530273A, requested was 478.8999938964844V/19.899999618530273A.",""
"2023-04-03T10:35:21.416Z","CAR","V2G CurrentDemandReq",""
"2023-04-03T10:35:21.418Z","EVSE","V2G CurrentDemandRes",""
