"2023-04-07T10:26:30.300Z","SYS","Session logging started.",""
"2023-04-07T10:26:30.300Z","EVSE","Session Started: EVConnected",""
"2023-04-07T10:26:31.303Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T10:26:31.392Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-07T10:26:31.542Z","EVSE","EIM Authorization received",""
"2023-04-07T10:26:31.543Z","EVSE","Transaction Started (545.544 kWh)",""
"2023-04-07T10:26:31.545Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-07T10:26:31.596Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-07T10:26:31.698Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-07T10:26:31.761Z","EVSE","SLAC MATCHING",""
"2023-04-07T10:26:33.220Z","EVSE","SLAC MATCHED",""
"2023-04-07T10:26:37.849Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-07T10:26:37.859Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-07T10:26:37.912Z","CAR","V2G SessionSetupReq",""
"2023-04-07T10:26:37.986Z","EVSE","V2G SessionSetupRes",""
"2023-04-07T10:26:38.254Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-07T10:26:38.380Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-07T10:26:38.623Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-07T10:26:38.697Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-07T10:26:39.063Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-07T10:26:39.082Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-07T10:26:39.135Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-07T10:26:39.218Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-07T10:26:39.585Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-07T10:26:39.598Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-07T10:26:40.555Z","EVSE","Start cable check...",""
"2023-04-07T10:26:40.556Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-07T10:26:40.589Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:40.642Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:40.758Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:40.758Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:40.759Z","EVSE","DC power supply: switch ON called",""
"2023-04-07T10:26:40.842Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:40.926Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.053Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:41.157Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.201Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:41.276Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.367Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:41.459Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.562Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:41.633Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.756Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:41.806Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:41.837Z","CAR","Event CarRequestedPower",""
"2023-04-07T10:26:41.909Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.000Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.091Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.213Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.214Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T10:26:42.284Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.375Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.457Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.572Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.632Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.713Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.805Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:42.886Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:42.987Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.079Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:43.170Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.201Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T10:26:43.252Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:43.353Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.476Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:43.558Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.629Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:43.761Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.833Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:43.894Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:43.965Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:44.067Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:44.148Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:44.209Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T10:26:44.209Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-07T10:26:44.251Z","EVSE","V2G CableCheckRes",""
"2023-04-07T10:26:44.332Z","CAR","V2G CableCheckReq",""
"2023-04-07T10:26:44.444Z","EVSE","V2G CableCheckRes",""
