"2023-04-04T06:39:32.093Z","SYS","Session logging started.",""
"2023-04-04T06:39:32.093Z","EVSE","Session Started: EVConnected",""
"2023-04-04T06:39:32.095Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T06:39:32.668Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-04T06:39:32.868Z","EVSE","EIM Authorization received",""
"2023-04-04T06:39:32.869Z","EVSE","Transaction Started (423.087 kWh)",""
"2023-04-04T06:39:32.870Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-04T06:39:32.920Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-04T06:39:33.057Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-04T06:39:38.028Z","EVSE","SLAC MATCHING",""
"2023-04-04T06:39:38.787Z","EVSE","SLAC MATCHED",""
"2023-04-04T06:39:41.453Z","CAR","V2G SupportedAppProtocolReq",""
"2023-04-04T06:39:41.464Z","EVSE","V2G SupportedAppProtocolRes",""
"2023-04-04T06:39:41.580Z","CAR","V2G SessionSetupReq",""
"2023-04-04T06:39:41.692Z","EVSE","V2G SessionSetupRes",""
"2023-04-04T06:39:41.795Z","CAR","V2G ServiceDiscoveryReq",""
"2023-04-04T06:39:41.900Z","EVSE","V2G ServiceDiscoveryRes",""
"2023-04-04T06:39:42.039Z","CAR","V2G ServicePaymentSelectionReq",""
"2023-04-04T06:39:42.174Z","EVSE","V2G ServicePaymentSelectionRes",""
"2023-04-04T06:39:42.363Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-04T06:39:42.382Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-04T06:39:42.485Z","CAR","V2G ContractAuthenticationReq",""
"2023-04-04T06:39:42.598Z","EVSE","V2G ContractAuthenticationRes",""
"2023-04-04T06:39:42.745Z","CAR","V2G ChargeParameterDiscoveryReq",""
"2023-04-04T06:39:42.808Z","EVSE","V2G ChargeParameterDiscoveryRes",""
"2023-04-04T06:39:43.590Z","EVSE","Start cable check...",""
"2023-04-04T06:39:43.592Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-04T06:39:43.593Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:43.652Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:43.786Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:43.797Z","EVSE","DC power supply: switch ON called",""
"2023-04-04T06:39:43.891Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:43.993Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:44.098Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:44.234Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:44.266Z","CAR","Event CarRequestedPower",""
"2023-04-04T06:39:44.330Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:44.444Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:44.578Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:44.652Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:44.775Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:44.908Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:44.980Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:45.112Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:45.234Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:45.265Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T06:39:45.316Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:45.418Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:45.583Z","CAR","V2G CableCheckReq",""
"2023-04-04T06:39:45.634Z","EVSE","V2G CableCheckRes",""
"2023-04-04T06:39:45.768Z","CAR","V2G CableCheckReq",""
